word,frequency,positions
hard,8,"[522, 3161, 7432, 12921, 25095, 31563, 31742, 39417]"
prevent,8,"[622, 3654, 9490, 9796, 11983, 16590, 18982, 32899]"
figures,8,"[1601, 7175, 8062, 11291, 19751, 21275, 21372, 49657]"
needed,8,"[2060, 8980, 12757, 38278, 45554, 45728, 47144, 49996]"
abbett,7,"[30951, 30958, 30978, 31005, 31032, 31058, 31084]"
lost,7,"[6589, 6668, 14225, 25930, 35566, 40933, 45952]"
hoechst,7,"[5800, 29660, 29670, 29749, 29763, 29798, 29816]"
least,7,"[1847, 2845, 4053, 18850, 20157, 21604, 22481]"
placed,7,"[2792, 9211, 17015, 18132, 19594, 25592, 28911]"
medtronic,7,"[33126, 33137, 33238, 33279, 33335, 33436, 33529]"
head,7,"[6571, 7642, 12304, 31577, 37726, 40547, 48651]"
way,7,"[17584, 17593, 20246, 33736, 40489, 45467, 45644]"
restrictions,7,"[4697, 26373, 26445, 26461, 31586, 31732, 42865]"
show,7,"[6558, 21276, 30076, 33077, 34454, 40591, 43286]"
offshore,7,"[8311, 8416, 8597, 8636, 35096, 35110, 42269]"
speculation,7,"[28449, 28559, 35896, 36133, 36206, 49731, 49840]"
tobacco,7,"[1884, 46683, 46787, 46824, 46856, 46860, 46933]"
minimum,7,"[3605, 25078, 25103, 26832, 26849, 46139, 49885]"
reiterated,7,"[17651, 22031, 33065, 36315, 38650, 39709, 44920]"
issues,7,"[4751, 7224, 7262, 11340, 11378, 29476, 49012]"
mtbe,7,"[5707, 5776, 5874, 5889, 5949, 5974, 5983]"
communique,7,"[17389, 21617, 34919, 34977, 35042, 35114, 37302]"
filing,7,"[39868, 42989, 44736, 44742, 44872, 44895, 44924]"
prime,7,"[846, 5215, 22005, 32108, 32125, 33046, 48736]"
factors,7,"[1954, 5106, 6796, 8930, 13764, 40638, 41103]"
dividends,7,"[4849, 10965, 11987, 22000, 30956, 33307, 33323]"
agrimont,7,"[27004, 27022, 27039, 27099, 27156, 27171, 27203]"
august,7,"[1061, 2820, 19761, 21209, 23715, 27795, 39663]"
lord,7,"[30950, 30957, 30977, 31004, 31031, 31057, 31083]"
pipeline,7,"[5833, 43072, 43097, 43121, 43140, 43196, 47884]"
trump,7,"[27437, 27446, 27524, 27532, 27576, 35917, 36185]"
imposed,7,"[1655, 12471, 14936, 18922, 29204, 29315, 34240]"
expect,7,"[3182, 4884, 6555, 9840, 17688, 18839, 21706]"
tokyo,7,"[107, 275, 2652, 11423, 26419, 29558, 49094]"
unemployment,7,"[15983, 15988, 21227, 21234, 21338, 47628, 47637]"
savings,7,"[15755, 15789, 15857, 23885, 32601, 48820, 48855]"
ban,7,"[1606, 1628, 1653, 14891, 14909, 14934, 42784]"
calendar,7,"[1582, 1857, 2242, 9698, 10866, 14241, 46489]"
soon,7,"[3132, 10102, 11421, 13172, 24757, 39017, 42317]"
mead,7,"[15652, 15665, 17946, 17957, 18074, 18114, 18148]"
paper,7,"[983, 1024, 10853, 17965, 18105, 37665, 49357]"
dow,7,"[22583, 22589, 22733, 22785, 30213, 30226, 30840]"
left,7,"[961, 7112, 9029, 9549, 11228, 36082, 37348]"
wallin,7,"[33236, 33262, 33331, 33398, 33485, 33540, 33579]"
zeeuw,7,"[32360, 32393, 32430, 32456, 32507, 32525, 32550]"
parent,7,"[3147, 10278, 13014, 19245, 19342, 28343, 40746]"
volume,7,"[4335, 31218, 35979, 38885, 40761, 46562, 47230]"
commercial,7,"[574, 2988, 3130, 6599, 14212, 17179, 26488]"
mills,7,"[602, 10792, 10848, 12685, 12787, 24181, 28585]"
future,7,"[2916, 11114, 15082, 15235, 26659, 34036, 36855]"
shipments,7,"[13171, 29309, 29362, 38745, 42184, 42337, 42381]"
look,7,"[5859, 12698, 17330, 21742, 28802, 46154, 47392]"
saw,7,"[16210, 17348, 17912, 19299, 31237, 31519, 47569]"
calls,7,"[7559, 23720, 23729, 23995, 31917, 41221, 46942]"
areas,7,"[7251, 11367, 20480, 21151, 21171, 24328, 33527]"
corn,7,"[4488, 40240, 40263, 40322, 40376, 40400, 44152]"
iranian,7,"[34892, 34979, 35065, 35100, 35104, 36600, 36619]"
john,7,"[703, 22686, 22887, 36307, 38647, 38969, 45770]"
cutting,7,"[4441, 10890, 13605, 18932, 24706, 45459, 46193]"
went,7,"[1684, 14965, 15817, 15911, 18589, 23712, 32628]"
taken,7,"[6233, 6955, 13113, 13584, 30416, 33931, 37150]"
exporters,7,"[1, 87, 428, 24630, 24637, 46425, 46479]"
matheson,7,"[9971, 9988, 10901, 10911, 10982, 11038, 11098]"
form,7,"[9335, 16774, 21979, 30936, 33699, 39087, 39547]"
maintain,7,"[1502, 4886, 12006, 19337, 26444, 31123, 42222]"
law,7,"[11155, 25033, 37618, 37996, 41171, 46005, 46010]"
forward,7,"[2011, 2029, 9026, 13627, 30159, 34319, 48768]"
chief,7,"[469, 6404, 8248, 12025, 16072, 18001, 40160]"
produce,7,"[2463, 5749, 5770, 20580, 23318, 26286, 33965]"
means,7,"[24896, 25599, 32533, 37869, 42164, 46410, 47167]"
kilos,7,"[7486, 12896, 17753, 17944, 19076, 26690, 26752]"
affairs,7,"[7126, 9621, 11137, 11242, 13523, 21273, 32518]"
venture,7,"[2371, 9593, 21822, 38910, 38927, 39090, 39141]"
profitable,7,"[2522, 3066, 23111, 23184, 28820, 43418, 44565]"
name,7,"[4969, 6931, 20074, 32765, 36122, 42700, 49534]"
considering,7,"[2042, 3734, 4006, 10823, 24027, 42159, 42297]"
remove,7,"[390, 4425, 4694, 5138, 7216, 11332, 48852]"
guilders,7,"[13384, 13399, 13441, 13445, 31172, 31282, 31339]"
conrac,7,"[14507, 14520, 14533, 14544, 14594, 14610, 14616]"
francs,7,"[6845, 6883, 6898, 6911, 6926, 26687, 26749]"
former,7,"[11784, 12461, 29814, 29827, 48735, 48782, 48909]"
transactions,7,"[2193, 5171, 44013, 47009, 47061, 47070, 47084]"
executive,7,"[6405, 16073, 18002, 33508, 37556, 37958, 40161]"
materials,7,"[1314, 5780, 5827, 10016, 31670, 42036, 43812]"
division,7,"[13477, 19936, 27161, 40666, 41454, 41481, 42494]"
negotiating,7,"[24212, 28619, 32157, 32373, 32581, 33648, 33689]"
unilever,7,"[14302, 14308, 14366, 14372, 14416, 14483, 46753]"
investor,7,"[16524, 16565, 24258, 28451, 36227, 39819, 39923]"
nations,7,"[32, 21475, 24732, 37230, 37242, 45578, 46959]"
issued,7,"[10080, 10627, 11744, 14320, 21622, 26946, 49047]"
helped,7,"[362, 6696, 22919, 29946, 38549, 47518, 48828]"
saying,7,"[7799, 10769, 10837, 11049, 13914, 19157, 40668]"
without,7,"[11115, 16728, 17539, 22315, 35694, 41802, 46472]"
ucpb,7,"[11720, 11748, 11790, 11825, 11836, 12223, 12431]"
iraq,7,"[8947, 34885, 34934, 35075, 39491, 39517, 39585]"
rebate,7,"[7473, 12883, 12961, 17282, 17301, 17931, 19063]"
planning,7,"[1136, 5339, 7823, 10775, 22881, 29894, 31873]"
los,7,"[11886, 11900, 11954, 11990, 12057, 12085, 12171]"
angeles,7,"[11887, 11901, 11955, 11991, 12058, 12086, 12172]"
ecus,7,"[7482, 12893, 17286, 17305, 17749, 17940, 19072]"
reflect,7,"[3555, 7955, 19752, 27953, 41958, 44665, 46628]"
sanctions,7,"[7078, 7102, 10564, 11194, 11218, 30092, 30103]"
latest,7,"[2233, 4888, 8065, 16983, 31954, 32073, 32861]"
named,7,"[333, 4267, 10799, 12413, 14725, 27190, 27209]"
kim,7,"[5217, 5333, 5466, 5581, 5584, 5640, 5699]"
provided,7,"[1190, 11602, 15542, 23418, 44133, 44181, 49321]"
malaysia,7,"[509, 1513, 1539, 9674, 9682, 9754, 9789]"
pacemakers,6,"[33253, 33372, 33439, 33468, 33481, 33591]"
w,6,"[2411, 18678, 18696, 18714, 23050, 28290]"
late,6,"[6002, 7379, 22062, 36905, 43420, 46736]"
offset,6,"[13203, 13717, 21724, 21749, 24404, 47365]"
workforce,6,"[15162, 15998, 42150, 47648, 47737, 47755]"
renault,6,"[38058, 38075, 38116, 38172, 38208, 38304]"
like,6,"[3196, 8459, 23128, 41784, 46155, 47496]"
allowed,6,"[3186, 3357, 6621, 20473, 28277, 38136]"
gmt,6,"[21599, 21613, 33900, 33919, 35316, 37373]"
hanover,6,"[19764, 19774, 19797, 19852, 39983, 39992]"
reagan,6,"[29365, 29409, 29494, 29530, 29583, 32354]"
intent,6,"[26901, 26917, 38111, 38198, 38309, 40081]"
grow,6,"[23359, 31666, 33316, 36495, 36807, 47097]"
reuter,6,"[51, 21500, 26437, 26521, 37327, 46939]"
accounts,6,"[9398, 24939, 34778, 41929, 42127, 49529]"
speculative,6,"[9023, 11492, 47083, 47090, 49769, 49956]"
federation,6,"[609, 26694, 26857, 37518, 43692, 46527]"
employers,6,"[15085, 15122, 15149, 15218, 15287, 38591]"
within,6,"[2615, 8554, 16545, 24794, 28331, 49271]"
raw,6,"[1313, 5779, 5826, 31669, 37823, 37831]"
main,6,"[3676, 5105, 15173, 21484, 24682, 33939]"
press,6,"[5226, 7132, 11248, 30120, 30151, 34311]"
improve,6,"[33245, 39759, 40479, 41078, 43100, 45318]"
authorized,6,"[19804, 24914, 26186, 39602, 39614, 40537]"
growers,6,"[9703, 9741, 9835, 9839, 43690, 46525]"
italian,6,"[12974, 21567, 21624, 21627, 37384, 37418]"
repurchase,6,"[3450, 3672, 5133, 11936, 21699, 24979]"
increases,6,"[13205, 19800, 26289, 36844, 38881, 42834]"
spa,6,"[12978, 13067, 27012, 27040, 27220, 42587]"
unlikely,6,"[9684, 10593, 13093, 13102, 32932, 49406]"
ruling,6,"[790, 14710, 15203, 20126, 31444, 48726]"
old,6,"[8944, 22619, 36391, 43139, 46898, 46901]"
chesebrough,6,"[14358, 14387, 14431, 14485, 46699, 46748]"
biggest,6,"[664, 3791, 9204, 22629, 26021, 31411]"
encor,6,"[44682, 44719, 44767, 44784, 44804, 44852]"
present,6,"[24819, 26657, 31540, 34017, 46079, 49305]"
cojuangco,6,"[11781, 11792, 11816, 12278, 12455, 12466]"
shortage,6,"[1570, 5091, 11626, 15642, 26123, 42874]"
confirmed,6,"[3316, 10655, 19044, 19253, 35684, 37297]"
distillate,6,"[44037, 44055, 44195, 44200, 45082, 45161]"
deal,6,"[11684, 22221, 38182, 38370, 45646, 45675]"
cascade,6,"[41176, 41185, 41191, 41223, 41251, 41276]"
lot,6,"[3235, 22640, 28935, 30330, 30369, 35829]"
teck,6,"[38900, 38914, 38963, 39009, 39074, 39223]"
indonesian,6,"[1473, 1577, 1831, 1837, 3317, 11532]"
semiconductor,6,"[29308, 29388, 29447, 29462, 29572, 34287]"
vice,6,"[10359, 29217, 31381, 33509, 37959, 38964]"
rises,6,"[4060, 21228, 24360, 33106, 36863, 47629]"
party,6,"[793, 14713, 14800, 20127, 48729, 49194]"
managing,6,"[6389, 22689, 27213, 27226, 41772, 49105]"
strategy,6,"[3298, 16327, 36072, 36081, 36111, 47512]"
la,6,"[12967, 12976, 20571, 20640, 20771, 20922]"
closed,6,"[24687, 31403, 40751, 42153, 46450, 47933]"
according,6,"[1597, 10187, 27309, 32704, 33834, 44370]"
competitive,6,"[4358, 23391, 26483, 26543, 36981, 40404]"
find,6,"[3017, 8770, 28941, 35669, 40704, 46777]"
gasoline,6,"[5901, 44041, 44059, 44244, 45108, 45182]"
iran,6,"[8945, 35019, 35051, 36577, 36590, 36643]"
whose,6,"[468, 1379, 5960, 26048, 37386, 44759]"
soriano,6,"[12073, 12317, 12375, 12397, 12411, 12503]"
norway,6,"[6504, 6587, 6606, 6626, 6638, 6674]"
completed,6,"[22076, 22333, 27429, 34572, 35663, 38961]"
directors,6,"[12078, 16307, 22230, 26969, 27258, 43826]"
equity,6,"[3939, 12017, 19562, 42086, 43364, 49651]"
meetings,6,"[1151, 15083, 15119, 17324, 29238, 30175]"
north,6,"[7557, 7565, 12769, 18625, 29689, 32561]"
primary,6,"[1084, 6658, 18223, 23921, 30039, 44205]"
status,6,"[2516, 17035, 25283, 42977, 44235, 45074]"
xebec,6,"[39286, 39297, 39338, 39381, 39414, 39437]"
stauffer,6,"[14306, 14337, 14380, 14398, 14429, 14455]"
sec,6,"[11881, 11913, 11958, 12054, 16578, 44923]"
requirement,6,"[3607, 16562, 16586, 16692, 35423, 40496]"
bowater,6,"[4902, 4971, 6276, 6281, 6337, 6410]"
source,6,"[21816, 21859, 24835, 32452, 48337, 48349]"
holds,6,"[3082, 3148, 4874, 10068, 10620, 47814]"
acquire,6,"[3911, 23015, 27444, 27453, 32159, 43843]"
cooperation,6,"[7253, 11369, 39915, 46946, 46991, 49327]"
changes,6,"[1112, 1740, 3054, 13947, 15021, 43295]"
cause,6,"[5649, 20502, 34426, 37804, 47093, 49960]"
rca,6,"[37090, 38551, 38569, 38781, 38811, 38892]"
power,6,"[1131, 1198, 10486, 29600, 42793, 48799]"
ldp,6,"[14701, 14715, 14747, 14785, 14812, 48731]"
signed,6,"[3899, 26913, 38112, 41446, 44095, 44130]"
volcker,6,"[45453, 45514, 45652, 45691, 45702, 45946]"
required,6,"[30324, 41169, 44787, 47132, 49772, 49984]"
diaz,6,"[7655, 7699, 7724, 12301, 12438, 12511]"
kuwait,6,"[8802, 8950, 9208, 9229, 9316, 9436]"
small,6,"[2561, 3211, 11431, 23121, 45438, 48838]"
buyer,6,"[4740, 11494, 14304, 14332, 29747, 36217]"
poultry,6,"[37447, 37458, 37545, 37598, 37762, 37910]"
affected,6,"[1797, 13819, 13888, 15268, 22775, 28722]"
prepared,6,"[4663, 6975, 14767, 24141, 36725, 39765]"
taiwan,6,"[288, 335, 364, 432, 2148, 7404]"
suit,6,"[11872, 12062, 12166, 12240, 22268, 22313]"
properties,6,"[3961, 27440, 27449, 27535, 35778, 37149]"
gave,6,"[1025, 4171, 9650, 14576, 32191, 33748]"
valley,6,"[22339, 22360, 38930, 39095, 39111, 39147]"
cases,6,"[3028, 3037, 26468, 37802, 37841, 37857]"
quoted,6,"[7789, 10765, 10832, 11044, 12021, 26705]"
need,6,"[3015, 4166, 5671, 8484, 35838, 38185]"
moisture,6,"[12624, 12763, 21148, 25082, 25107, 41106]"
michael,6,"[864, 7117, 10413, 11233, 29249, 37251]"
eight,6,"[5381, 20554, 23896, 25704, 34736, 40851]"
failure,6,"[148, 12678, 16751, 29281, 46157, 48568]"
monier,6,"[10004, 10018, 10053, 10073, 10115, 10157]"
us,6,"[320, 1956, 8448, 12291, 22566, 36979]"
away,6,"[6597, 7926, 23211, 36053, 37651, 45551]"
completion,6,"[20320, 20761, 22250, 26934, 27365, 40650]"
difficult,6,"[7454, 13790, 24901, 25422, 39788, 46105]"
almost,6,"[4547, 8079, 8582, 28462, 42363, 44417]"
class,6,"[19659, 19667, 19701, 19711, 21988, 30939]"
resources,6,"[1157, 6095, 7333, 18470, 18487, 29739]"
programs,6,"[18094, 37460, 37715, 37743, 41092, 46197]"
pilots,6,"[35796, 35808, 35868, 36090, 36193, 40796]"
turnover,6,"[4936, 5961, 13392, 13464, 31257, 49516]"
friday,6,"[709, 10561, 17198, 30317, 33876, 34840]"
various,6,"[1756, 2924, 25042, 26864, 33795, 38828]"
near,6,"[2915, 15234, 17369, 20760, 24859, 34907]"
workers,6,"[1746, 6158, 6220, 6232, 15027, 15260]"
meanwhile,6,"[770, 1694, 12298, 14975, 15237, 37295]"
street,6,"[8615, 28520, 36139, 40770, 46160, 46769]"
wall,6,"[8614, 28519, 36138, 40769, 46159, 46768]"
home,6,"[2961, 9286, 13722, 15856, 22635, 29301]"
efforts,6,"[7106, 11222, 31155, 31713, 37896, 48443]"
reach,5,"[9713, 12253, 19214, 27619, 34819]"
subcommittee,5,"[32535, 35385, 37527, 37592, 38031]"
manager,5,"[3973, 24713, 24750, 24778, 43683]"
heavy,5,"[6733, 20435, 25431, 33282, 34991]"
administration,5,"[32355, 38968, 44225, 45064, 45922]"
health,5,"[5907, 19467, 27168, 37574, 37714]"
rio,5,"[25992, 49425, 49444, 49463, 49538]"
franc,5,"[6838, 6861, 26668, 26801, 26820]"
rumor,5,"[23726, 23735, 24003, 24038, 24133]"
trend,5,"[6266, 6361, 8626, 23273, 37480]"
raytheon,5,"[23736, 23750, 23833, 24353, 24363]"
ordinary,5,"[6921, 10953, 11109, 19165, 26586]"
currencies,5,"[22916, 31268, 31564, 31743, 49269]"
headed,5,"[22801, 23086, 36629, 39821, 39920]"
interstate,5,"[27439, 27448, 27526, 27534, 27578]"
owns,5,"[6124, 6144, 14642, 27261, 43799]"
disclose,5,"[6075, 7694, 16770, 29699, 37614]"
consortium,5,"[6030, 6088, 39006, 39217, 42458]"
caterpillar,5,"[32634, 39685, 39695, 39736, 39775]"
spotlight,5,"[7911, 8798, 28429, 48237, 48278]"
governor,5,"[8495, 17202, 21544, 21556, 34847]"
chemicals,5,"[23044, 23113, 23185, 23228, 41554]"
nation,5,"[26003, 26063, 35523, 43214, 48106]"
buttrose,5,"[8251, 8306, 8413, 8466, 8794]"
credits,5,"[23618, 27811, 27858, 28247, 30797]"
gains,5,"[23545, 24394, 25535, 27566, 27751]"
diversify,5,"[8005, 24322, 31809, 31824, 33519]"
barrel,5,"[6707, 8859, 9328, 22769, 35614]"
vieille,5,"[6745, 6775, 6823, 6867, 6933]"
know,5,"[8104, 12530, 16793, 28512, 38956]"
montagne,5,"[6746, 6776, 6824, 6868, 6934]"
sharp,5,"[6752, 17458, 34456, 47196, 47219]"
concerned,5,"[8232, 24051, 24056, 36092, 37569]"
believes,5,"[23259, 28879, 34815, 44591, 44960]"
depreciation,5,"[6762, 13566, 13571, 47185, 47262]"
citibank,5,"[6503, 6512, 6566, 6577, 6667]"
created,5,"[6770, 22949, 23249, 27198, 32075]"
designed,5,"[23118, 29423, 42826, 42913, 47516]"
metals,5,"[26675, 26699, 26735, 26862, 26872]"
scheduled,5,"[5933, 5996, 12547, 33903, 34242]"
harcourt,5,"[28271, 28305, 28318, 28335, 28345]"
give,5,"[4015, 7512, 12959, 17834, 45796]"
agrees,5,"[22213, 27278, 32675, 41011, 41029]"
overnight,5,"[24339, 24347, 24961, 24977, 27653]"
harvesting,5,"[20477, 20608, 20745, 21163, 25944]"
yield,5,"[20417, 20587, 20646, 25574, 25627]"
quota,5,"[9233, 18907, 18923, 18957, 40540]"
sun,5,"[20329, 20333, 20340, 20344, 20388]"
richard,5,"[4387, 32546, 38412, 40154, 47978]"
farmers,5,"[4343, 11807, 18965, 18991, 31664]"
steady,5,"[9395, 15984, 15990, 41820, 46924]"
turkey,5,"[31916, 31923, 32047, 32063, 32094]"
customer,5,"[4276, 21678, 21698, 21721, 39336]"
improvement,5,"[4168, 6363, 15686, 18093, 43287]"
buyers,5,"[7390, 12370, 12381, 12418, 23124]"
pl,5,"[25019, 39605, 39631, 44073, 44092]"
gatt,5,"[32318, 32576, 47939, 48038, 48080]"
round,5,"[32338, 36204, 47940, 48024, 48114]"
actions,5,"[7274, 11390, 45312, 48943, 49160]"
registered,5,"[4804, 46416, 46481, 46520, 46542]"
attention,5,"[7248, 8720, 11364, 36100, 36187]"
repurchases,5,"[21679, 24341, 24349, 24962, 33326]"
entire,5,"[7832, 22797, 26537, 37627, 40902]"
estate,5,"[8724, 8774, 27565, 30762, 35914]"
reducing,5,"[5627, 17636, 18940, 42166, 47169]"
turning,5,"[5574, 8273, 8718, 23092, 37871]"
pace,5,"[8827, 22692, 22884, 37746, 41961]"
ability,5,"[8840, 40202, 44546, 44561, 48859]"
opening,5,"[5238, 11424, 11438, 18583, 34508]"
presidential,5,"[7660, 12441, 29472, 30093, 34259]"
slow,5,"[5187, 5210, 9932, 10288, 41797]"
gulf,5,"[8967, 9434, 23313, 35087, 35728]"
rumors,5,"[24060, 24068, 24117, 28505, 35959]"
caused,5,"[8997, 10290, 13467, 38740, 41914]"
feet,5,"[30158, 34318, 37224, 43248, 43257]"
associated,5,"[4998, 41708, 42079, 42098, 47879]"
gaf,5,"[22505, 22510, 22814, 23005, 23217]"
competition,5,"[2740, 28725, 43320, 48669, 48905]"
harvest,5,"[9868, 18844, 20918, 24867, 25868]"
entered,5,"[2730, 14512, 14525, 24966, 40076]"
hbo,5,"[43752, 43762, 43804, 43850, 43865]"
nippon,5,"[10717, 10724, 10766, 10804, 10833]"
maximum,5,"[12882, 17741, 19061, 25083, 25108]"
hartmarx,5,"[36279, 36288, 36347, 36417, 36498]"
fuel,5,"[42924, 44201, 44282, 45132, 45204]"
largely,5,"[2770, 7968, 25271, 36762, 47533]"
cannot,5,"[17687, 41794, 44989, 47951, 48489]"
rubbermaid,5,"[15032, 15042, 15410, 15678, 15687]"
outcome,5,"[684, 7439, 12915, 38995, 44985]"
independent,5,"[15052, 15073, 23809, 35527, 40876]"
beginning,5,"[12696, 13641, 20443, 29538, 46183]"
smaller,5,"[1366, 2693, 7500, 14384, 21375]"
commodities,5,"[1376, 23101, 39549, 44106, 44180]"
final,5,"[15202, 22059, 29958, 33810, 44984]"
ge,5,"[37050, 38545, 38599, 38665, 38708]"
legal,5,"[15229, 32015, 38028, 48695, 48704]"
greater,5,"[1018, 13594, 16435, 17429, 47414]"
italy,5,"[12964, 21665, 27015, 37403, 49043]"
showed,5,"[918, 6261, 6362, 6448, 21373]"
delay,5,"[10595, 12195, 38059, 38292, 38388]"
sent,5,"[14403, 29676, 32120, 43767, 43780]"
forces,5,"[10490, 34893, 34998, 35093, 36875]"
relations,5,"[718, 3072, 4675, 10507, 29622]"
lb,5,"[13141, 13291, 13316, 43666, 43750]"
merge,5,"[18472, 18484, 27289, 32684, 40924]"
focus,5,"[3059, 6736, 13838, 36118, 41548]"
democratic,5,"[792, 14712, 37400, 48728, 49193]"
registrations,5,"[46386, 46394, 46441, 46462, 46574]"
package,5,"[797, 3774, 14787, 14806, 29819]"
large,5,"[812, 2697, 42633, 42797, 49213]"
makes,5,"[18398, 19862, 43971, 46890, 48639]"
nickel,5,"[13091, 13099, 13125, 13163, 13211]"
totaled,5,"[13034, 25672, 37193, 37212, 40364]"
deputy,5,"[857, 873, 5214, 10406, 29241]"
representative,5,"[863, 10412, 10577, 29247, 47986]"
cpo,5,"[1423, 1433, 1481, 1580, 1896]"
certainly,5,"[11130, 30154, 34314, 36975, 37862]"
cane,5,"[12608, 12628, 12736, 12780, 12814]"
f,5,"[2321, 18676, 18694, 18712, 19140]"
additional,5,"[38187, 39480, 39573, 42140, 42160]"
coming,5,"[12213, 12289, 16603, 40633, 45350]"
cargo,5,"[1700, 1784, 14981, 15056, 15066]"
filed,5,"[11778, 11873, 12167, 16575, 43809]"
definitive,5,"[16295, 38090, 38349, 40198, 41448]"
agreements,5,"[16296, 21700, 24980, 29422, 44557]"
introduced,5,"[1905, 9014, 16183, 18927, 26713]"
overseas,5,"[2127, 2728, 4094, 48470, 48525]"
trying,5,"[2124, 4463, 23150, 29652, 48462]"
require,5,"[16434, 16768, 17084, 35342, 46863]"
decisions,5,"[2064, 8426, 21672, 33793, 47431]"
study,5,"[2058, 5706, 5736, 5791, 42303]"
ibm,5,"[39329, 39383, 39411, 39424, 39432]"
ccc,5,"[39483, 39551, 41071, 41124, 41149]"
speaking,5,"[16448, 22722, 25904, 37973, 43695]"
approval,5,"[2280, 19302, 19773, 22027, 44882]"
disrupted,5,"[1642, 1791, 10511, 14923, 29626]"
consumers,5,"[37465, 37474, 37953, 42830, 48916]"
holdings,5,"[2352, 3742, 7709, 10912, 26389]"
wojnilower,5,"[41743, 41775, 41862, 41890, 41931]"
queensland,5,"[12606, 12637, 12770, 12777, 47898]"
possibly,5,"[1519, 1853, 9670, 12853, 31695]"
approximately,5,"[17017, 19425, 19439, 25036, 37810]"
shortly,5,"[11435, 16432, 24474, 33897, 39057]"
predicted,5,"[16857, 22487, 22746, 44991, 45925]"
putting,5,"[11463, 12704, 16730, 30156, 34316]"
afternoon,5,"[15554, 21761, 33948, 35805, 37246]"
opened,5,"[11507, 21767, 34409, 34552, 46461]"
session,5,"[11578, 11614, 33777, 33895, 33949]"
purchased,5,"[12389, 21853, 26320, 26625, 28363]"
discuss,5,"[11580, 17501, 19194, 34290, 48017]"
morning,5,"[11613, 24242, 32380, 33926, 37393]"
stood,5,"[16020, 19345, 24437, 36107, 49389]"
band,5,"[11658, 11672, 15557, 15585, 15612]"
kind,5,"[713, 3046, 8788, 18834, 23334]"
bags,5,"[43732, 46487, 46501, 46519, 46541]"
majority,5,"[3412, 14089, 26627, 31547, 35635]"
newspaper,5,"[10461, 10736, 14041, 29579, 47922]"
danger,5,"[13983, 36827, 37754, 45530, 46111]"
double,5,"[33393, 36328, 38662, 40272, 42364]"
comstock,5,"[33637, 33666, 33696, 33715, 33745]"
virtually,5,"[187, 13215, 19236, 19309, 22962]"
protectionist,5,"[66, 7295, 11411, 48885, 49167]"
right,5,"[3300, 13941, 22290, 40451, 48042]"
businessmen,5,"[44, 290, 514, 567, 31850]"
selling,5,"[552, 9331, 11750, 24806, 28874]"
payout,5,"[19196, 21934, 22021, 22069, 40964]"
senior,5,"[324, 437, 4236, 4715, 29177]"
vw,5,"[19142, 19185, 19205, 19251, 19329]"
research,5,"[14146, 14158, 14822, 32066, 37888]"
increasing,5,"[13719, 23383, 26497, 33345, 47150]"
quickly,5,"[385, 2599, 2671, 14178, 33267]"
tough,5,"[516, 8321, 8403, 8424, 41788]"
batignolles,5,"[33634, 33645, 33669, 33707, 33725]"
worldwide,5,"[33342, 33363, 35451, 41203, 41267]"
ita,5,"[3329, 3371, 3399, 33771, 33815]"
james,5,"[282, 21636, 37879, 41460, 48648]"
whole,5,"[618, 4111, 22609, 33059, 37479]"
bales,5,"[33960, 33972, 33996, 34063, 34077]"
necessary,5,"[3338, 40477, 42917, 47274, 47551]"
block,5,"[587, 7833, 11915, 35724, 48829]"
took,5,"[13574, 29768, 32413, 35943, 43123]"
bancorp,5,"[19357, 42708, 42927, 44357, 46587]"
iraqi,5,"[34879, 34921, 35044, 35069, 35089]"
spie,5,"[33633, 33644, 33668, 33706, 33724]"
semiconductors,5,"[157, 527, 556, 29290, 29320]"
care,5,"[19421, 19468, 27169, 41237, 42049]"
electronics,5,"[135, 182, 215, 559, 24396]"
pakistan,5,"[33951, 33961, 34010, 34050, 35652]"
discount,4,"[41046, 41073, 49744, 49792]"
shipping,4,"[1648, 1752, 1828, 14929]"
benefit,4,"[8450, 11065, 11096, 14495]"
cra,4,"[6009, 6045, 6069, 49648]"
auxton,4,"[14004, 14034, 14068, 14091]"
whim,4,"[6018, 6023, 6071, 6080]"
tunisia,4,"[27767, 27774, 27825, 27844]"
accounting,4,"[668, 9561, 30838, 38861]"
computer,4,"[14035, 14623, 14821, 16039]"
creek,4,"[6019, 6024, 6072, 6081]"
cain,4,"[22515, 23246, 23277, 23350]"
ends,4,"[1607, 14892, 19655, 35237]"
cpa,4,"[24666, 24695, 24831, 24921]"
anheuser,4,"[7593, 7601, 7669, 7841]"
busch,4,"[7595, 7603, 7671, 7843]"
hurt,4,"[94, 8359, 25245, 39725]"
impose,4,"[125, 7157, 10425, 11273]"
combined,4,"[6132, 18498, 18899, 29789]"
donald,4,"[27531, 35365, 35916, 37676]"
plastics,4,"[22644, 23042, 23386, 38585]"
rapid,4,"[8364, 8490, 13749, 37899]"
alexanders,4,"[27445, 27454, 27530, 27548]"
limit,4,"[5929, 17125, 24633, 24641]"
tinto,4,"[49426, 49445, 49464, 49539]"
restated,4,"[27951, 44663, 49532, 49658]"
takeovers,4,"[16440, 16497, 16666, 16707]"
either,4,"[1891, 29807, 41872, 49875]"
comments,4,"[28549, 41043, 41058, 41157]"
refined,4,"[1899, 9308, 20142, 44325]"
hotel,4,"[8746, 34418, 34513, 34554]"
raised,4,"[23, 7057, 13437, 39832]"
